0;7d3526131f3d419b8fcc0348f0489473;sequential;;;;7d3526131f3d419b8fcc0348f0489473;/43dbb36012b94acc9fa8094242914909/7d3526131f3d419b8fcc0348f0489473;;
0;3c02fedcbfe745a2baad1748d4379e80;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/7d3526131f3d419b8fcc0348f0489473/3c02fedcbfe745a2baad1748d4379e80;;
0;0190fae14c2f4b52b90f0458bac658a9;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/7d3526131f3d419b8fcc0348f0489473/0190fae14c2f4b52b90f0458bac658a9;;
0;f2daf2ee792b416c9a7889648d3048c5;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/7d3526131f3d419b8fcc0348f0489473/f2daf2ee792b416c9a7889648d3048c5;;
0;c8dff00399a34bb1ae469c6c2c9a27fc;sequential;;;;c8dff00399a34bb1ae469c6c2c9a27fc;/43dbb36012b94acc9fa8094242914909/c8dff00399a34bb1ae469c6c2c9a27fc;;
0;cf6234a751824db18a7525e25337150b;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/c8dff00399a34bb1ae469c6c2c9a27fc/cf6234a751824db18a7525e25337150b;;
0;632ab611e57742fc8df57f772ccc2be3;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/c8dff00399a34bb1ae469c6c2c9a27fc/632ab611e57742fc8df57f772ccc2be3;;
0;af379d8176294987b135413ba6a3ae9a;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/c8dff00399a34bb1ae469c6c2c9a27fc/af379d8176294987b135413ba6a3ae9a;;
0;bf841473944647bcb5dbd4220162d5fb;sequential;;;;bf841473944647bcb5dbd4220162d5fb;/43dbb36012b94acc9fa8094242914909/bf841473944647bcb5dbd4220162d5fb;;
0;3a516868130e44a695f1315ec220f313;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/bf841473944647bcb5dbd4220162d5fb/3a516868130e44a695f1315ec220f313;;
0;6b69e72934d4462fb1b40b47f063eb5d;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/bf841473944647bcb5dbd4220162d5fb/6b69e72934d4462fb1b40b47f063eb5d;;
0;e8de6a3801ec422283eb889f06976e4d;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/bf841473944647bcb5dbd4220162d5fb/e8de6a3801ec422283eb889f06976e4d;;
0;b5a4213f3d954b158ec9cfccbc83bb35;sequential;;;;b5a4213f3d954b158ec9cfccbc83bb35;/43dbb36012b94acc9fa8094242914909/b5a4213f3d954b158ec9cfccbc83bb35;;
0;eed27718176643d292f514327b0d006f;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/b5a4213f3d954b158ec9cfccbc83bb35/eed27718176643d292f514327b0d006f;;
0;b2750bd2b3734f939f95ef495c1596b1;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/b5a4213f3d954b158ec9cfccbc83bb35/b2750bd2b3734f939f95ef495c1596b1;;
0;00c6738b98264f0a93a4bea099f01a12;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/b5a4213f3d954b158ec9cfccbc83bb35/00c6738b98264f0a93a4bea099f01a12;;
0;dcd7de17527940d0b861d18a026c7ef3;sequential;;;;dcd7de17527940d0b861d18a026c7ef3;/43dbb36012b94acc9fa8094242914909/dcd7de17527940d0b861d18a026c7ef3;;
0;85ee25bf01c34e999d21f4765e36acdd;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/dcd7de17527940d0b861d18a026c7ef3/85ee25bf01c34e999d21f4765e36acdd;;
0;6cb01b285b7b4e90a5e83f082b28d0a8;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/dcd7de17527940d0b861d18a026c7ef3/6cb01b285b7b4e90a5e83f082b28d0a8;;
0;0248d79e7c32459a9492614ab13ff9e5;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/dcd7de17527940d0b861d18a026c7ef3/0248d79e7c32459a9492614ab13ff9e5;;
0;45859620d03345639b93f03689ef6cbb;sequential;;;;45859620d03345639b93f03689ef6cbb;/43dbb36012b94acc9fa8094242914909/45859620d03345639b93f03689ef6cbb;;
0;811f1beca792452eb632c8edadadecf3;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/45859620d03345639b93f03689ef6cbb/811f1beca792452eb632c8edadadecf3;;
0;2b48c23797fe45aab2a47b7b40f0f246;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/45859620d03345639b93f03689ef6cbb/2b48c23797fe45aab2a47b7b40f0f246;;
0;ec91148c76784a61b886639a20bc34f5;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/45859620d03345639b93f03689ef6cbb/ec91148c76784a61b886639a20bc34f5;;
0;1158193b27e74f6cbbdea34ddc4eab97;sequential;;;;1158193b27e74f6cbbdea34ddc4eab97;/43dbb36012b94acc9fa8094242914909/1158193b27e74f6cbbdea34ddc4eab97;;
0;381763df5c3d48e4a971ba3e50d857bc;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/1158193b27e74f6cbbdea34ddc4eab97/381763df5c3d48e4a971ba3e50d857bc;;
0;58b4feb50bb94742a85cf5dab0c82360;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/1158193b27e74f6cbbdea34ddc4eab97/58b4feb50bb94742a85cf5dab0c82360;;
0;cae0e5fb9bf64cdb90187f24b6ac1030;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/1158193b27e74f6cbbdea34ddc4eab97/cae0e5fb9bf64cdb90187f24b6ac1030;;
0;87baf41bf5794c6ca96ee7f2ed3f2076;sequential;;;;87baf41bf5794c6ca96ee7f2ed3f2076;/43dbb36012b94acc9fa8094242914909/87baf41bf5794c6ca96ee7f2ed3f2076;;
0;7c46b0785f9b46b29148874f5b7eb6c0;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/87baf41bf5794c6ca96ee7f2ed3f2076/7c46b0785f9b46b29148874f5b7eb6c0;;
0;23b2508c20bd4865825e3cabd80a4963;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/87baf41bf5794c6ca96ee7f2ed3f2076/23b2508c20bd4865825e3cabd80a4963;;
0;253b56105f78407abe2acbc7b7244ab3;vertical;;;;Peer-Learning Question Video;/43dbb36012b94acc9fa8094242914909/87baf41bf5794c6ca96ee7f2ed3f2076/253b56105f78407abe2acbc7b7244ab3;;
0;23ed123774ab451cb0370cde2505dcb1;sequential;;;;23ed123774ab451cb0370cde2505dcb1;/43dbb36012b94acc9fa8094242914909/23ed123774ab451cb0370cde2505dcb1;;
0;0f9588d022fa4a08875560854b351227;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/23ed123774ab451cb0370cde2505dcb1/0f9588d022fa4a08875560854b351227;;
0;ca48f872f28c461c8b518d3af0c8c47b;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/23ed123774ab451cb0370cde2505dcb1/ca48f872f28c461c8b518d3af0c8c47b;;
0;59c096f6b7cf4bffba63a1503d8ea8ee;sequential;;;;59c096f6b7cf4bffba63a1503d8ea8ee;/43dbb36012b94acc9fa8094242914909/59c096f6b7cf4bffba63a1503d8ea8ee;;
0;7af2cbde2bd84e2e806a637d686a7d95;vertical;;;;Lecture Video;/43dbb36012b94acc9fa8094242914909/59c096f6b7cf4bffba63a1503d8ea8ee/7af2cbde2bd84e2e806a637d686a7d95;;
0;2f16bd22a4084864a4845a145b896b37;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/59c096f6b7cf4bffba63a1503d8ea8ee/2f16bd22a4084864a4845a145b896b37;;
0;a395e80d26c146ceab3ba3e12b19e801;sequential;;;;a395e80d26c146ceab3ba3e12b19e801;/43dbb36012b94acc9fa8094242914909/a395e80d26c146ceab3ba3e12b19e801;;
0;4c8899a6e94e4a10a02506032de4361e;vertical;;;;Peer-Learning Question;/43dbb36012b94acc9fa8094242914909/a395e80d26c146ceab3ba3e12b19e801/4c8899a6e94e4a10a02506032de4361e;;
0;b6b36beffcde4fb4bcbf17bbb3e170c7;chapter;;;;Project Management;/b6b36beffcde4fb4bcbf17bbb3e170c7;;
0;c7ae7efe974c4709a96b98c6d7413ed0;sequential;;;;c7ae7efe974c4709a96b98c6d7413ed0;/b6b36beffcde4fb4bcbf17bbb3e170c7/c7ae7efe974c4709a96b98c6d7413ed0;;
0;69a59404edf84c30b0ee9aa14b17ecf3;vertical;;;;Lecture;/b6b36beffcde4fb4bcbf17bbb3e170c7/c7ae7efe974c4709a96b98c6d7413ed0/69a59404edf84c30b0ee9aa14b17ecf3;;
0;fdbb33901c364b13b2699baa12e5c804;vertical;;;;Peer-Learning Question;/b6b36beffcde4fb4bcbf17bbb3e170c7/c7ae7efe974c4709a96b98c6d7413ed0/fdbb33901c364b13b2699baa12e5c804;;
0;76ffff513f05424f94013b534d5a06f1;vertical;;;;Peer-Learning Question Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/c7ae7efe974c4709a96b98c6d7413ed0/76ffff513f05424f94013b534d5a06f1;;
0;c75af2b5dcff43d688a5c56a06495b96;sequential;;;;c75af2b5dcff43d688a5c56a06495b96;/b6b36beffcde4fb4bcbf17bbb3e170c7/c75af2b5dcff43d688a5c56a06495b96;;
0;bb04b8fbbbd54109ac9969e14fb3e3d8;vertical;;;;Lecture Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/c75af2b5dcff43d688a5c56a06495b96/bb04b8fbbbd54109ac9969e14fb3e3d8;;
0;62cfa8fe180842128b84896ec78c88c3;vertical;;;;Peer-Learning Question;/b6b36beffcde4fb4bcbf17bbb3e170c7/c75af2b5dcff43d688a5c56a06495b96/62cfa8fe180842128b84896ec78c88c3;;
0;e08ca03f4ade42599b1ad2d120a56a65;vertical;;;;Peer-Learning Question Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/c75af2b5dcff43d688a5c56a06495b96/e08ca03f4ade42599b1ad2d120a56a65;;
0;1853fd52087a447db6550864057ef709;sequential;;;;1853fd52087a447db6550864057ef709;/b6b36beffcde4fb4bcbf17bbb3e170c7/1853fd52087a447db6550864057ef709;;
0;bece7d2a2b9b401fb3ade5ebebd99069;vertical;;;;Lecture Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/1853fd52087a447db6550864057ef709/bece7d2a2b9b401fb3ade5ebebd99069;;
0;dcca463fca924798b4bfe44f68590074;vertical;;;;Peer-Learning Question;/b6b36beffcde4fb4bcbf17bbb3e170c7/1853fd52087a447db6550864057ef709/dcca463fca924798b4bfe44f68590074;;
0;fe2687705a3143a09d6576c0d2a044b5;vertical;;;;Peer-Learning Question Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/1853fd52087a447db6550864057ef709/fe2687705a3143a09d6576c0d2a044b5;;
0;21f33ef3d3ef4b13b4a26729439081da;sequential;;;;21f33ef3d3ef4b13b4a26729439081da;/b6b36beffcde4fb4bcbf17bbb3e170c7/21f33ef3d3ef4b13b4a26729439081da;;
0;7c94017a61aa46f1b20f471f824bdf60;vertical;;;;Lecture Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/21f33ef3d3ef4b13b4a26729439081da/7c94017a61aa46f1b20f471f824bdf60;;
0;07f9144399d14bc78b2b3909c263c14b;vertical;;;;Peer-Learning Question;/b6b36beffcde4fb4bcbf17bbb3e170c7/21f33ef3d3ef4b13b4a26729439081da/07f9144399d14bc78b2b3909c263c14b;;
0;5797446398184659876cbf7923604449;vertical;;;;Peer-Learning Question Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/21f33ef3d3ef4b13b4a26729439081da/5797446398184659876cbf7923604449;;
0;c7028fd384c341169de13a877693319f;sequential;;;;c7028fd384c341169de13a877693319f;/b6b36beffcde4fb4bcbf17bbb3e170c7/c7028fd384c341169de13a877693319f;;
0;c1c28971e83d4ab19b7d47c64a39db3c;vertical;;;;Lecture Video;/b6b36beffcde4fb4bcbf17bbb3e170c7/c7028fd384c341169de13a877693319f/c1c28971e83d4ab19b7d47c64a39db3c;;
